ID		part		anti		mass		width		charge		spin		shape		ctau
3322		Xi0		Xi0b		1.31486		0.		 0		0.5		---		87.1
3312		Xi-		Xi+		1.32171		0.		-1		0.5		---		49.1
3334		Omega-		Omega+		1.67245		0.		-1		1.5		---		24.61
411		D+		D-		1.86961		0.		 1		0.0		---		0.311
421		D0		D0b		1.86484		0.		 0		0.0		---		0.122
413		D*+		D*-		2.01026		0.0000834	 1		1.0		RBW		-1.
423		D*0		D*0b		2.00697		0.0000834	 0		1.0		RBW		-1.
10411		D0*(2400)+	D0*(2400)-	2.403		0.283		 1		0.0		RBW		-1.
10421		D0*(2400)0	D0*(2400)0b	2.318		0.267		 0		0.0		RBW		-1.
10413		D1(2420)+	D1(2420)-	2.4232		0.025		 1		1.0		RBW		-1.
10423		D1(2420)0	D1(2420)0b	2.4214		0.0274		 0		1.0		RBW		-1.
20413		D1(2430)+	D1(2430)-	2.427		0.384		 1		1.0		RBW		-1.
20423		D1(2430)0	D1(2430)0b	2.427		0.384		 0		1.0		RBW		-1.
415		D2*(2460)+	D2*(2460)-	2.4643		0.037		 1		2.0		RBW		-1.
425		D2*(2460)0	D2*(2460)0b	2.4626		0.049		 0		2.0		RBW		-1.
431		Ds+		Ds-		1.9683		0.		 1		0.0		---		0.1499
433		Ds*+		Ds*-		2.1121		0.0000834	 1		1.0		RBW		-1.
10431		Ds0*(2317)+	Ds0*(2317)-	2.3177		0.001		 1		0.0		RBW		-1.
10433		Ds1(2536)+	Ds1(2536)-	2.53511		0.00092		 1		1.0		RBW		-1.
20433		Ds1(2460)+	Ds1(2460)-	2.4595		0.0035		 1		1.0		RBW		-1.
435		Ds2*(2573)+	Ds2*(2573)-	2.56839		0.0169		 1		2.0		RBW		-1.
441		etac		---		2.9836		0.0318		 0		0.0		---		-1.
10443		hc		---		3.52538		0.007		 0		1.0		RBW		-1.
10441		chic0		---		3.41475		0.0105		 0		0.0		RBW		-1.
443		Jpsi		---		3.096916	0.0000929	 0		1.0		RBW		-1.
20443		chic1		---		3.51066		0.00084		 0		1.0		RBW		-1.
100443		psi2S		---		3.686093	0.000298	 0		1.0		RBW		-1.
445		chic2		---		3.55620		0.00193		 0		2.0		RBW		-1.
4122		Lambdac+	Lambdac-	2.28646		0.		 1		0.5		---		0.0607
4222		Sigmac++	Sigmac--	2.45397		0.00189		 2		0.5		RBW		-1.
4212		Sigmac+		Sigmac-		2.4529		0.0046		 1		0.5		RBW		-1.
4112		Sigmac0		Sigmac0b	2.45375		0.00183		 0		0.5		RBW		-1.
4232		Xic+		Xic-		2.46793		0.		 1		0.5		---		0.137
4132		Xic0		Xic0b		2.47085		0.		 0		0.5		---		0.046
4332		Omegac0		Omegac0b	2.6952		0.		 0		0.5		---		0.08
511		B0		B0b		5.27958		0.		 0		0.0		---		0.4557
521		B+		B-		5.27931		0.		 1		0.0		---		0.4914
531		Bs0		Bs0b		5.36677		0.		 0		0.0		---		0.4512
541		Bc+		Bc-		6.2751		0.		 1		0.0		---		0.152
513		B*0		B*0b		5.32465		0.		 0		1.0		---		-1.
523		B*+		B*-		5.32483		0.		 1		1.0		---		-1.
533		Bs*0		Bs*0b		5.4154		0.		 0		1.0		---		-1.
10533		Bs10		Bs10b		5.828		0.0005		 0		1.0		---		-1.
551		etab		---		9.3990		0.010		 0		0.0		---		-1.
553		Upsilon1S	---		9.46030		0.00005402	 0		1.0		RBW		-1.
5122		Lambdab0	Lambdab0b	5.61951		0.		 0		0.5		---		0.4407
5112		Sigmab-		---		5.8155		0.0049		-1		0.5		RBW		-1.
5222		Sigmab+		---		5.8113		0.0097		 1		0.5		RBW		-1.
5132		Xib-		Xib+		5.7945		0.		-1		0.5		---		0.471
5232		Xib0		Xib0b		5.7919		0.		 0		0.5		---		0.444
5332		Omegab-		Omegab+		6.0464		0.		-1		0.5		---		0.492
100553		Upsilon2S	---		10.02326	0.00003198	 0		1.0		RBW		-1.
200553		Upsilon3S	---		10.3552		0.00002032	 0		1.0		RBW		-1.
300553		Upsilon4S	---		10.5794		0.0205		 0		1.0		RBW		-1.
10551		chib0		---		9.85944		0.		 0		1.0		---		-1.
20551		chib1		---		11.89278	0.		 0		1.0		---		-1.
30551		chib2		---		10.25546	0.		 0		1.0		---		-1.
